# Time-averaged data for fix observables
# TimeStep v_temperature v_pressure v_potential v_volume v_rho c_Q6
93000 1.00255 8.04851 -6.63152 3767.92 1.0616 0.448602
94000 0.999327 7.96775 -6.63956 3769.8 1.06107 0.448983
95000 0.998595 7.96177 -6.64025 3769.78 1.06108 0.448991
96000 1.00044 8.07916 -6.62181 3769.04 1.06128 0.448297
97000 0.998192 7.94521 -6.64233 3770.15 1.06097 0.448891
98000 0.996604 8.03409 -6.63063 3768.85 1.06133 0.448454
99000 1.0057 8.00697 -6.62483 3772.37 1.06035 0.448276
100000 0.997801 7.99618 -6.62872 3771.17 1.06068 0.448284
101000 1.00204 8.00753 -6.63473 3769.27 1.06121 0.448953
102000 0.995037 8.01311 -6.64353 3766.15 1.06209 0.449187
103000 0.998945 7.96187 -6.63125 3772.38 1.06034 0.448419
104000 0.992483 8.06686 -6.62967 3767.26 1.06178 0.448734
105000 1.00819 7.97874 -6.63183 3772.06 1.06043 0.448925
106000 1.00314 7.98565 -6.62851 3772.19 1.06039 0.448356
107000 0.996153 8.02926 -6.62993 3768.88 1.06133 0.448693
108000 1.00085 8.00397 -6.62908 3771.1 1.0607 0.448675
109000 1.00436 7.97796 -6.63098 3772.08 1.06042 0.448645
110000 1.00124 7.97865 -6.6353 3770.59 1.06084 0.44861
111000 0.987694 8.05975 -6.63725 3764.96 1.06243 0.449274
112000 1.00406 7.98571 -6.62498 3773.35 1.06007 0.448335
113000 1.00367 7.97403 -6.62966 3772.56 1.06029 0.448462
114000 1.00548 7.99236 -6.63875 3769.1 1.06126 0.448833
115000 0.997444 8.04452 -6.63169 3767.76 1.06164 0.448695
116000 1.0041 7.97093 -6.62366 3774.39 1.05977 0.448451
117000 1.00286 7.99888 -6.61949 3774.07 1.05987 0.448227
118000 1.00037 8.02966 -6.63206 3768.71 1.06137 0.448503
119000 0.998589 7.99187 -6.6325 3770.38 1.0609 0.448416
120000 0.988623 8.00685 -6.64308 3766.05 1.06212 0.449374
121000 0.9984 8.01993 -6.64245 3766.28 1.06206 0.449381
122000 0.994899 7.98261 -6.62603 3772.71 1.06025 0.448463
123000 1.00187 8.01787 -6.62678 3770.99 1.06074 0.448183
124000 0.996129 8.06498 -6.62495 3768.52 1.06142 0.44835
125000 1.00362 8.00478 -6.62743 3771.63 1.06056 0.448354
126000 0.997781 7.97988 -6.62995 3771.91 1.06047 0.448534
127000 0.985399 8.04003 -6.64163 3764.59 1.06254 0.449121
128000 1.00192 8.00195 -6.64292 3767.18 1.06181 0.449084
129000 1.00516 7.97603 -6.62751 3773.03 1.06016 0.448631
130000 1.00171 7.97736 -6.62697 3773.07 1.06015 0.448173
131000 1.00101 8.02562 -6.6327 3768.85 1.06133 0.44873
132000 1.00434 8.00495 -6.62574 3772.09 1.06042 0.448407
133000 0.993382 7.98192 -6.63159 3770.75 1.0608 0.448576
134000 0.996017 8.02212 -6.63463 3768.13 1.06154 0.448919
135000 1.00112 8.02274 -6.63584 3768.18 1.06152 0.448766
136000 1.00287 7.9949 -6.62018 3774.19 1.05983 0.448433
137000 0.995291 8.07064 -6.61898 3770.13 1.06097 0.448206
138000 0.990845 7.94149 -6.6548 3766.39 1.06203 0.449767
139000 1.00109 8.0519 -6.62925 3768.54 1.06143 0.448863
140000 0.996501 8.00061 -6.63032 3770.66 1.06082 0.448383
141000 0.998726 8.01154 -6.62316 3772.33 1.06036 0.448526
142000 1.00539 8.03386 -6.62663 3770.18 1.06096 0.448516
143000 0.993954 7.95912 -6.63588 3770.88 1.06076 0.448655
144000 1.00906 8.04826 -6.63306 3767.75 1.06165 0.448742
145000 0.990959 7.9463 -6.64773 3768.12 1.06155 0.449247
146000 1.00424 7.95677 -6.63605 3771.73 1.06053 0.448778
147000 1.01098 8.02665 -6.61621 3774.16 1.05984 0.448331
148000 0.999064 8.02435 -6.62401 3771.42 1.06061 0.448405
149000 0.992341 8.00698 -6.63331 3769.27 1.06122 0.448783
150000 1.00123 8.03418 -6.62791 3769.68 1.0611 0.448554
151000 0.99116 8.04845 -6.6324 3767.22 1.06179 0.448748
152000 1.00152 7.98548 -6.62785 3772.44 1.06032 0.448232
153000 1.00455 8.02127 -6.6203 3772.77 1.06023 0.448284
154000 0.996074 7.99489 -6.6363 3769.08 1.06127 0.448757
155000 1.0019 8.01368 -6.63452 3768.79 1.06135 0.448709
156000 0.988525 7.99937 -6.63528 3768.8 1.06135 0.448807
157000 1.00407 8.06087 -6.61982 3770.7 1.06082 0.448318
158000 0.991608 7.98023 -6.63911 3769.01 1.06129 0.448854
159000 1.00317 7.97123 -6.63426 3771.41 1.06062 0.448583
160000 0.993798 8.09843 -6.63079 3765.13 1.06239 0.448763
161000 1.00248 7.92937 -6.62806 3775.23 1.05954 0.448394
162000 0.992899 8.03566 -6.64259 3764.98 1.06243 0.449351
163000 1.00954 8.02808 -6.61697 3773.82 1.05994 0.447873
164000 0.9902 7.99061 -6.63323 3770.12 1.06098 0.448432
165000 0.998711 8.05357 -6.62442 3769.61 1.06112 0.448507
166000 0.995039 7.99717 -6.64135 3767.55 1.0617 0.448848
167000 0.997719 7.967 -6.63685 3770.28 1.06093 0.448947
168000 0.999211 8.05625 -6.62875 3768.29 1.06149 0.448451
169000 1.0051 7.93646 -6.63287 3773.66 1.05998 0.448563
170000 1.00453 8.01152 -6.62669 3771.46 1.0606 0.448735
171000 1.00301 7.97827 -6.63519 3770.65 1.06083 0.448864
172000 1.01237 8.00436 -6.62888 3771.74 1.06052 0.448503
173000 0.996628 7.93074 -6.64075 3771.06 1.06071 0.448653
174000 1.00213 8.04371 -6.62526 3770.04 1.06101 0.448612
175000 1.00074 7.99304 -6.63691 3769.36 1.06119 0.449064
176000 0.993053 8.0013 -6.63353 3769.33 1.0612 0.448539
177000 1.00319 8.04775 -6.63278 3767.93 1.06159 0.449157
178000 1.00425 7.92008 -6.62871 3775.73 1.0594 0.448514
179000 0.994867 8.08278 -6.63428 3765.2 1.06236 0.448826
180000 1.00188 7.96919 -6.6323 3771.85 1.06049 0.448484
181000 0.992926 7.97322 -6.63346 3771.07 1.06071 0.448739
182000 1.0147 8.05526 -6.62727 3769.6 1.06113 0.448518
183000 0.996658 7.93229 -6.63766 3772.25 1.06038 0.448815
184000 0.997881 8.01107 -6.63236 3769.45 1.06117 0.448855
185000 0.993509 8.04304 -6.64195 3764.75 1.06249 0.449282
186000 1.00171 7.97535 -6.62207 3774.42 1.05977 0.448118
187000 0.994339 8.02343 -6.64536 3764.92 1.06244 0.449487
188000 0.998159 7.97557 -6.62936 3772.39 1.06034 0.448263
189000 1.01214 8.01181 -6.61948 3773.94 1.05991 0.448169
190000 1.00215 8.032 -6.62302 3771.53 1.06058 0.448421
191000 1.00412 7.94397 -6.63683 3772.08 1.06043 0.448698
192000 0.992393 7.9934 -6.65196 3764.58 1.06254 0.449418
193000 0.999923 8.01327 -6.63696 3768.02 1.06157 0.449028
194000 1.00439 7.98498 -6.62885 3772.25 1.06038 0.448523
195000 1.0057 7.99926 -6.62114 3773.77 1.05995 0.448314
196000 1.00539 7.9812 -6.62425 3773.85 1.05993 0.448305
197000 0.996254 8.063 -6.62911 3767.73 1.06166 0.448698
198000 1.00436 7.97839 -6.63646 3770.4 1.0609 0.448968
199000 1.00707 7.96828 -6.62799 3773.52 1.06002 0.448428
200000 1.00196 7.99904 -6.62785 3771.55 1.06057 0.448786
201000 1.00392 7.99182 -6.61945 3774.61 1.05972 0.448255
202000 1.00248 8.04947 -6.62848 3768.74 1.06136 0.448787
203000 0.99208 7.95246 -6.64311 3769.2 1.06125 0.449044
204000 0.999796 7.94828 -6.63644 3771.64 1.06055 0.449002
205000 1.00616 7.99024 -6.62491 3773.1 1.06014 0.448419
206000 0.998178 7.93272 -6.63814 3771.83 1.0605 0.448688
207000 0.995219 7.98894 -6.63384 3769.97 1.06102 0.448713
208000 0.992251 7.96796 -6.62743 3772.89 1.0602 0.448244
209000 0.99645 7.95709 -6.62673 3773.9 1.05991 0.448566
210000 0.998708 7.90981 -6.63758 3773.3 1.06008 0.448439
211000 1.00347 7.94064 -6.62749 3774.95 1.05962 0.448114
212000 0.99915 7.96019 -6.63379 3771.7 1.06054 0.448388
213000 0.993457 7.84901 -6.64402 3774.63 1.05971 0.448524
214000 1.00568 7.92952 -6.63186 3774.42 1.05977 0.448534
215000 1.00655 7.86217 -6.62563 3779.9 1.05823 0.448175
216000 0.98951 7.92365 -6.63132 3773.96 1.0599 0.448505
217000 1.00003 7.93399 -6.62047 3776.99 1.05905 0.44796
218000 1.00147 7.82227 -6.63829 3778.05 1.05875 0.448363
219000 0.997924 7.8632 -6.64185 3774.57 1.05973 0.448456
220000 1.00061 7.88496 -6.63488 3775.54 1.05945 0.448453
221000 0.998629 7.86334 -6.63052 3777.99 1.05877 0.448577
222000 0.996429 7.78887 -6.63781 3779.69 1.05829 0.448242
223000 0.991567 7.86903 -6.64211 3774.12 1.05986 0.448623
224000 0.99756 7.90149 -6.62952 3775.95 1.05934 0.448361
225000 1.00439 7.83773 -6.61234 3784.9 1.05684 0.447616
226000 1.00292 7.77059 -6.62698 3783.97 1.05709 0.448038
227000 1.00566 7.85663 -6.63266 3777.86 1.0588 0.448576
228000 0.995106 7.78713 -6.63497 3780.58 1.05805 0.448242
229000 0.997755 7.75082 -6.6387 3781.5 1.05778 0.448241
230000 1.00766 7.88028 -6.61743 3781.57 1.05778 0.447589
231000 1.00266 7.7102 -6.63447 3784.92 1.05683 0.448033
232000 1.00027 7.75173 -6.63769 3781.9 1.05767 0.448162
233000 1.00158 7.84632 -6.62457 3780.73 1.058 0.448129
234000 0.999553 7.6914 -6.63362 3786.18 1.05648 0.44836
235000 0.998839 7.8042 -6.62828 3781.6 1.05776 0.447872
236000 0.999758 7.72667 -6.63329 3784.13 1.05705 0.448315
237000 0.995029 7.7376 -6.64078 3781.22 1.05786 0.44891
238000 0.985931 7.82996 -6.63282 3778.23 1.0587 0.448235
239000 0.999268 7.6737 -6.63166 3787.81 1.05602 0.448019
240000 0.999733 7.7401 -6.62949 3784.92 1.05683 0.447629
241000 0.992073 7.78672 -6.62225 3784.31 1.057 0.447781
242000 0.991605 7.65703 -6.64419 3784.61 1.05692 0.448383
243000 1.00205 7.75143 -6.61835 3787.67 1.05606 0.44747
244000 0.991535 7.69852 -6.63624 3784.67 1.0569 0.44818
245000 0.998799 7.69022 -6.63289 3786.54 1.05638 0.448055
246000 1.00224 7.73606 -6.60967 3790.85 1.05518 0.44724
247000 0.991474 7.64936 -6.63505 3787.57 1.05609 0.447902
248000 1.0065 7.70427 -6.62745 3787.45 1.05613 0.447766
249000 0.993973 7.63255 -6.63486 3788.62 1.0558 0.447854
250000 1.0051 7.60996 -6.63333 3790.83 1.05518 0.447543
251000 0.994639 7.7305 -6.62691 3785.77 1.05659 0.447654
252000 1.00682 7.59833 -6.60898 3798.93 1.05293 0.44692
253000 0.99821 7.6808 -6.63227 3787 1.05625 0.448243
254000 0.996041 7.60481 -6.63555 3790.05 1.0554 0.447908
255000 1.00388 7.59532 -6.63108 3792.33 1.05476 0.447828
256000 1.00094 7.57284 -6.63604 3791.82 1.0549 0.447996
257000 0.99778 7.63367 -6.6348 3788.75 1.05576 0.448075
258000 0.994301 7.59423 -6.63361 3791.29 1.05505 0.448011
259000 0.998793 7.57828 -6.63084 3793.03 1.05457 0.447534
260000 0.99699 7.56767 -6.63183 3793.18 1.05453 0.447921
261000 0.996897 7.61195 -6.63422 3790.12 1.05538 0.448052
262000 0.997206 7.56051 -6.62982 3794.2 1.05424 0.447796
263000 0.998886 7.5959 -6.61679 3795.98 1.05375 0.447119
264000 1.00027 7.5935 -6.6146 3797.16 1.05342 0.446933
265000 0.996765 7.5471 -6.62749 3795.72 1.05383 0.447665
266000 1.00138 7.54801 -6.62452 3796.38 1.05364 0.447491
267000 0.996874 7.54731 -6.62371 3796.65 1.05356 0.447639
268000 0.994159 7.52198 -6.63449 3794.75 1.0541 0.44766
269000 0.996163 7.56569 -6.6233 3795.91 1.05377 0.447447
270000 1.01196 7.52255 -6.59753 3806.63 1.0508 0.446182
271000 0.999238 7.56674 -6.62099 3796.63 1.05357 0.447411
272000 0.997898 7.47025 -6.62457 3800.84 1.0524 0.4473
273000 1.00511 7.49726 -6.62092 3800.62 1.05246 0.447317
274000 0.99608 7.48063 -6.63892 3795.86 1.05378 0.448008
275000 1.00564 7.43002 -6.62419 3803.46 1.05167 0.447183
276000 0.989666 7.51668 -6.64818 3790.76 1.0552 0.448155
277000 1.00238 7.42076 -6.62544 3803.52 1.05166 0.447125
278000 1.00603 7.4577 -6.62356 3802.16 1.05204 0.447494
279000 0.998593 7.44618 -6.62536 3801.76 1.05214 0.446986
280000 1.0005 7.44497 -6.62177 3802.91 1.05183 0.446927
281000 0.997009 7.46687 -6.63284 3798.42 1.05307 0.447387
282000 0.995334 7.44788 -6.62664 3800.87 1.05239 0.447248
283000 1.00081 7.42256 -6.61037 3807.63 1.05053 0.446541
284000 1.00535 7.45939 -6.6231 3802.26 1.05201 0.446796
285000 0.999108 7.38912 -6.62571 3804.9 1.05129 0.446834
286000 1.00411 7.34262 -6.62174 3808.82 1.0502 0.447059
287000 1.00203 7.45117 -6.6296 3800.47 1.05251 0.447424
288000 1.00476 7.32673 -6.6243 3808.7 1.05023 0.446806
289000 1.00214 7.39587 -6.62694 3804.33 1.05144 0.447238
290000 1.00048 7.34796 -6.63408 3804.72 1.05133 0.44743
291000 0.994179 7.34792 -6.63185 3805.07 1.05123 0.44708
292000 1.00318 7.41629 -6.6201 3805.2 1.0512 0.446992
293000 1.00365 7.29867 -6.61948 3811.98 1.04933 0.446683
294000 1.00072 7.33716 -6.63902 3803.82 1.05158 0.447431
295000 1.01354 7.3424 -6.60937 3813.34 1.04895 0.4465
296000 1.00221 7.26641 -6.63652 3808.53 1.05028 0.447267
297000 1.00447 7.31267 -6.62807 3808.67 1.05024 0.446972
298000 0.99522 7.33021 -6.63209 3806.05 1.05096 0.447006
299000 1.00023 7.26149 -6.63114 3810.1 1.04984 0.447103
300000 0.998712 7.35211 -6.62453 3807.12 1.05066 0.446734
301000 1.00467 7.24005 -6.62444 3813.62 1.04888 0.44695
302000 0.995731 7.29723 -6.62065 3811.08 1.04957 0.447112
303000 1.00425 7.30031 -6.6228 3810.82 1.04965 0.446643
304000 0.999205 7.282 -6.61648 3813.41 1.04893 0.446282
305000 1.00535 7.24053 -6.6256 3813.46 1.04892 0.446819
306000 1.00735 7.24601 -6.62996 3811.68 1.04941 0.447086
307000 0.997825 7.27031 -6.61066 3815.84 1.04826 0.446105
308000 0.996998 7.23149 -6.62609 3813.1 1.04902 0.446767
309000 0.997964 7.28792 -6.61094 3814.63 1.0486 0.446336
310000 0.999806 7.21226 -6.63271 3812.38 1.04921 0.447195
311000 0.99639 7.22882 -6.63254 3811.46 1.04947 0.447221
312000 0.997874 7.24266 -6.61325 3816.35 1.04812 0.446342
313000 1.00483 7.17237 -6.6212 3818.54 1.04753 0.446489
314000 1.00256 7.23357 -6.61042 3818.03 1.04766 0.446152
