LAMMPS data file via write_data, version 7 Feb 2024, timestep = 1200000, units = lj

4000 atoms
1 atom types

-1.3013870761358994 16.23940289799287 xlo xhi
-1.3013870761358994 16.23940289799287 ylo yhi
-1.3013870761358994 16.23940289799287 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Atoms # atomic

684 1 15.797422025827366 -0.2599516420205663 15.800928006472066 0 0 1
3440 1 -0.273145636551253 0.16067329262258623 -1.2087395908312784 -1 1 2
2957 1 -1.1203586604860292 -1.2902292657147634 -0.43597716974256895 1 0 1
1835 1 1.7974313013423089 15.90269347430392 15.874167646872756 0 0 -2
2424 1 0.9062727647277664 -1.2480255602817178 0.2711038948829063 0 -1 2
297 1 2.209667079598667 16.189306140404177 -0.6211580447016286 1 -1 1
952 1 0.8442982664095591 16.217354725267082 15.413061955103615 0 0 -1
582 1 1.2719855835247764 15.223775963180298 0.15003946977263505 0 -1 0
2808 1 2.8736055575532733 15.83323966614287 15.248085536511745 -1 0 0
3730 1 5.828006677375692 15.85796256851464 16.174912392690242 0 0 0
1035 1 3.453133244534347 -1.050039059283201 16.221984269521982 0 0 -1
3302 1 3.1650610267824524 -1.046601899549797 -0.13246598794161946 1 1 1
436 1 3.7266610238175444 0.03428879718191169 -0.35353574385042963 0 0 -1
1633 1 4.750105293671363 -0.3568986611433298 0.42078576726405736 0 1 0
111 1 5.237637762275472 -0.4794097623267135 -0.8927907964429592 0 -1 -1
1144 1 7.009111797004907 -0.6886586563567763 15.046482323366458 1 0 -2
2586 1 4.947911572644263 0.6321614219950475 -0.3549975503374493 2 1 1
178 1 6.250998568640375 -0.6158801904359175 15.78285994250502 -1 0 -2
3305 1 6.679172503875688 -0.018053657489124353 -0.0644055588010799 -1 1 1
2695 1 6.913272282720573 1.3732579898542738 -1.1408574693149378 0 0 0
2575 1 7.934697495475175 0.9850525703292186 15.215382855963927 1 1 -1
3470 1 9.469615215894274 -0.5840625299769099 -1.0912685136141291 0 0 0
561 1 9.814286052520497 0.22687904735966558 15.404594331531221 0 1 -1
865 1 10.656849997593197 -0.2785550500550549 16.205771835529024 1 0 -1
2565 1 9.368236325217083 0.6309902797020124 -1.0598371800865092 -2 0 1
1319 1 12.2480075723992 16.024302122568077 15.82885512744027 0 -1 0
3275 1 11.326462774161978 0.17415281274895844 -0.27215475815587364 0 1 1
3919 1 13.379450262112472 -0.8792892276898154 0.4427034096068083 -1 0 1
2650 1 13.234925806223771 -0.3640333817858735 14.391088452593886 -1 1 0
543 1 15.66055459986773 0.9234576994810673 -1.0660745099953803 -1 1 0
1345 1 14.27586876656277 -1.2388962680251019 0.019774838553970664 0 1 0
3981 1 15.747879264402645 -0.35494249448754533 -0.5316060269569994 -1 0 1
135 1 15.84572738314257 1.9116236216697895 16.207811942174423 -1 0 0
474 1 15.9516854227159 2.0940022408798042 -0.14083912999159343 0 0 -1
2556 1 15.528928257896823 0.28430588582191496 0.37579025599825466 0 1 0
3335 1 -0.3548823919414513 1.8376103431984259 0.5095533666366776 0 -1 0
